index,time,acc x,acc y,acc z,ori x,ori z,punch
0,0,-0.0384368896484375,-0.825714111328125,-0.5273895263671875,-0.5382805198993287,-0.03920048653590186,None
1,0.05,0.049346923828125,-0.778472900390625,-0.5799560546875,-0.5974266232915539,-0.050767897408300275,None
2,0.1,0.0131988525390625,-0.764190673828125,-0.6847991943359375,-0.6673627786091084,-0.012861718276329806,None
3,0.15,0.0289306640625,-0.76458740234375,-0.6483154296875,-0.6467306847743968,-0.028847934656794024,None
4,0.2,0.001068115234375,-0.750885009765625,-0.6903533935546875,-0.6768118138416616,-0.0010471631190099072,None
5,0.25,0.009307861328125,-0.7732696533203125,-0.634185791015625,-0.634142171691917,-0.009306818043182463,None
6,0.3,0.009063720703125,-0.7676544189453125,-0.5783233642578125,-0.6017183078685987,-0.009429956541205646,None
7,0.349,-0.04083251953125,-0.733428955078125,-0.6425018310546875,-0.6589410129336456,0.041840596665644714,None
8,0.399,-0.0756072998046875,-0.771881103515625,-0.5759124755859375,-0.5980055791982914,0.07826691318453105,None
9,0.449,-0.1145172119140625,-0.7130584716796875,-0.66522216796875,-0.6821543281027536,0.11663063176277767,None
10,0.499,-0.02752685546875,-0.7150115966796875,-0.686676025390625,-0.6926708687964013,0.027756473121211815,None
11,0.549,0.0085296630859375,-0.6775360107421875,-0.7565155029296875,-0.7449213584223133,-0.008398643636652417,None
12,0.599,0.1009979248046875,-0.73443603515625,-0.4890289306640625,-0.5542331896017292,-0.1137218248367492,None
13,0.648,-0.111602783203125,-0.8527069091796875,-0.44342041015625,-0.4613632341167175,0.1153437253635653,None
14,0.698,-0.1356964111328125,-0.8829803466796875,-0.45599365234375,-0.4588509801755864,0.1352912778561325,None
15,0.748,-0.2109375,-0.913421630859375,-0.471771240234375,-0.4588946962933274,0.2009929859117432,None
16,0.798,-0.1984710693359375,-0.87127685546875,-0.529449462890625,-0.5193077213758402,0.19108233054595866,None
17,0.848,-0.2526702880859375,-0.8759307861328125,-0.4911041259765625,-0.48904517746708165,0.24400572502194723,None
18,0.898,-0.1533355712890625,-0.7480621337890625,-0.38348388671875,-0.45618692610802986,0.17944498517807833,None
19,0.947,-0.1771240234375,-0.686431884765625,-0.5836334228515625,-0.6477555800163047,0.19289227795131683,None
20,0.997,0.067596435546875,-0.7704620361328125,-0.7072906494140625,-0.6762615585706323,-0.06449639051389974,None
21,1.047,-0.007568359375,-0.66473388671875,-0.9860382080078125,-0.6902239253159846,-0.1003886870759974,None
22,1.097,-0.23004150390625,-0.7034149169921875,-0.785430908203125,-0.7449297288052477,0.21316471408462984,None
23,1.147,-0.0543365478515625,-0.48846435546875,-0.3704376220703125,-0.6042606324806763,0.0882880672149539,None
24,1.197,0.2231597900390625,-0.408355712890625,0.0032501220703125,0.007958794332516301,-0.47953638516504804,None
25,1.247,0.5460205078125,-0.114715576171875,-0.616363525390625,-0.15989087948338065,-0.5070945883868619,None
26,1.296,0.9132843017578125,-0.1287384033203125,-0.8941650390625,-0.3049385916229599,-0.5142873573459441,None
27,1.346,1.3414459228515625,0.0109405517578125,-1.523956298828125,-0.3616804357935379,-0.4726443632310978,None
28,1.396,1.8811492919921875,-0.882293701171875,-1.432159423828125,-0.44146542224884805,-0.3943075204222584,None
29,1.604,-2.5416107177734375,0.2012786865234375,1.1541900634765625,-0.40338501781612923,-0.2608724886216816,None
30,1.656,-0.5836029052734375,-0.67584228515625,-0.76300048828125,-0.3528949774417207,-0.1726404374298793,UpperCut
31,1.706,0.296173095703125,-0.729461669921875,-1.2139434814453125,-0.37975498263251206,-0.20926232845982692,None
32,1.756,0.7156982421875,-0.494140625,-1.2264251708984375,-0.41877737000941057,-0.22661121170821094,None
33,1.806,0.8607025146484375,-0.5412445068359375,-0.7786865234375,-0.35351858725063845,-0.20362278835069303,None
34,1.856,0.060943603515625,-0.8202667236328125,-0.627655029296875,-0.6076897124871172,-0.05890257701694514,None
35,1.906,-0.0213775634765625,-0.9881744384765625,-0.633941650390625,-0.5870933526958688,-0.055188906212320296,None
36,1.956,-0.309600830078125,-0.6338653564453125,-1.0772247314453125,-0.660321154555611,-0.0764416821131046,None
37,2.005,-0.188446044921875,-0.572540283203125,-1.1017303466796875,-0.7262973563867244,-0.1080897749732748,None
38,2.055,0.3173065185546875,-0.4844970703125,-0.709716796875,-0.8259026250333646,-0.3463915397373327,None
39,2.105,0.15020751953125,-0.4549713134765625,-1.0593109130859375,-0.881937610834381,-0.37591039476456184,None
40,2.155,0.4383544921875,-0.37615966796875,-0.837005615234375,-0.9118336596717757,-0.4386418179546981,None
41,2.205,0.8226470947265625,-0.1154937744140625,-1.0443572998046875,-0.923218421392032,-0.5384361697163288,None
42,2.255,1.5950927734375,-0.1023101806640625,-0.4459075927734375,-0.9560498205346742,-0.5564184243951449,None
43,2.304,1.9038543701171875,-0.0949249267578125,-1.070220947265625,-0.9805791998334222,-0.4933277070133963,None
44,2.554,-2.254241943359375,-0.0838775634765625,1.2532501220703125,-0.9816261675493877,-0.4252856189503096,None
45,2.603,-0.1767120361328125,-0.3996429443359375,-1.8377685546875,-0.9947051715398659,-0.4292015187051238,None
46,2.653,1.2228851318359375,-0.249267578125,-1.742095947265625,-0.9987422972279484,-0.48163437473206144,UpperCut
47,2.703,0.5688323974609375,-0.727142333984375,-1.69500732421875,-0.9888555159873145,-0.4772978756305918,None
48,2.753,0.56591796875,-0.637054443359375,-1.3488616943359375,-0.9758316905874358,-0.47237188072988634,None
49,2.803,0.6232147216796875,-0.66949462890625,-1.0693206787109375,-0.9547205449948921,-0.45424825511549055,None
50,2.853,0.539215087890625,-0.5986785888671875,-0.4921722412109375,-0.6350479686272761,-0.5711170386634234,None
51,2.902,-0.4046478271484375,-0.773895263671875,-0.957427978515625,-0.6274271073125363,-0.5618390578502085,None
52,2.952,0.0897979736328125,-0.5319671630859375,-0.93060302734375,-0.6573401183714715,-0.6325656655602889,None
53,3.002,0.734649658203125,-0.295867919921875,-0.914154052734375,-0.7368058462140344,-0.7011380298762951,None
54,3.052,1.650726318359375,-0.4676055908203125,-1.1324615478515625,-0.8065425161062252,-0.728848319169314,None
55,3.102,1.8674468994140625,-0.4788055419921875,-1.969879150390625,-0.8421019602256186,-0.705546718749561,None
56,3.371,-2.416778564453125,-0.146392822265625,-0.3538818359375,-0.8746538478202017,-0.5601538581063228,None
57,3.471,0.7506561279296875,-0.7645416259765625,-1.93109130859375,-0.904855114916455,-0.5882606435149375,UpperCut
58,3.521,0.9253082275390625,-0.8167877197265625,-1.205047607421875,-0.8837181154029426,-0.6158452180153247,None
59,3.57,0.4275054931640625,-0.5745086669921875,-1.4181671142578125,-0.8620685183269248,-0.6149421295042415,None
60,3.62,0.767425537109375,-0.56365966796875,-0.6317138671875,-0.8383015105202213,-0.6076704300980802,None
61,3.67,0.5257415771484375,-0.46649169921875,-1.048828125,-0.8444392715871182,-0.5991306071848972,None
62,3.72,1.09735107421875,-0.5284881591796875,-0.7180633544921875,-0.8767172907824202,-0.625696179994237,None
63,3.77,1.98193359375,-0.5322723388671875,-0.8935089111328125,-0.9315258245314262,-0.6768802289229968,None
