index,time,acc x,acc y,acc z,sin ori x,sin ori y,sin ori z,user input
0,0,-0.3216705322265625,-0.636322021484375,-0.6629638671875,-0.7214543460235225,0,-0.33039259548395195,0
1,0.05,-0.3174896240234375,-0.6267242431640625,-0.6876220703125,-0.7390763923344761,0.008068198345571424,-0.3229605617616639,0
2,0.1,-0.3370819091796875,-0.6313934326171875,-0.69952392578125,-0.742332023359304,0.00862789541320463,-0.3368099434069304,0
3,0.15,-0.3369903564453125,-0.610015869140625,-0.698699951171875,-0.7532957262199413,0.0058966569675719315,-0.34148248435745515,0
4,0.2,-0.361541748046875,-0.636199951171875,-0.692779541015625,-0.7365437431911347,-0.004209846582132931,-0.35878850906336374,0
5,0.249,-0.31646728515625,-0.6114044189453125,-0.696868896484375,-0.7516971258542161,-0.012918715767145917,-0.3230615321927793,0
6,0.299,-0.34033203125,-0.6560516357421875,-0.7110137939453125,-0.7349419030613973,-0.03308705268235459,-0.3318504290635576,0
7,0.349,-0.34051513671875,-0.6522674560546875,-0.5326690673828125,-0.6325231575998624,-0.049032151014803266,-0.3748630835999978,0
8,0.399,-0.493408203125,-0.7564849853515625,-0.668212890625,-0.6220505212371262,-0.05482327255411781,-0.37925145481357525,0
9,0.449,-0.364593505859375,-0.6680908203125,-0.563385009765625,-0.6446592825714164,-0.058549250418899246,-0.38502687971707356,0
10,0.499,-0.399078369140625,-0.69207763671875,-0.595672607421875,-0.6523450692948074,-0.08812080611590135,-0.40047024847929064,0
11,0.548,-0.4201812744140625,-0.718719482421875,-0.5950164794921875,-0.6377039215096869,-0.17382984980436594,-0.41061167135247906,0
12,0.598,-0.508087158203125,-0.9520721435546875,-0.7051239013671875,-0.6237630144785853,-0.24160916165952145,-0.43476909081760756,0
13,0.648,-0.4046173095703125,-0.899688720703125,-0.7336273193359375,-0.6023762034413153,-0.2593529238516047,-0.48093276727611406,0
14,0.698,-0.180328369140625,-0.778717041015625,-0.3533477783203125,-0.41320729065737943,-0.2919437628420582,-0.20633924943360168,0
15,0.748,-0.2029571533203125,-0.706451416015625,-0.326812744140625,-0.419861074870334,-0.30506429847341965,-0.2523063223154265,0
16,0.798,-0.194549560546875,-0.7595367431640625,-0.1114501953125,-0.14517982606573385,-0.28842189907608967,-0.24566243043437827,0
17,0.848,-0.3674774169921875,-0.814056396484375,-0.2884521484375,-0.33399169659185124,-0.2797327124217338,-0.39152494275922556,0
18,0.897,-0.348114013671875,-0.9221649169921875,-0.4397735595703125,-0.43045006133135066,-0.23129481001126792,-0.32252524214026257,0
19,0.947,-0.354095458984375,-0.858428955078125,-0.5886993408203125,-0.5655690931292506,-0.1553367425956743,-0.32205793945329336,0
20,0.997,-0.4092254638671875,-0.7497406005859375,-0.6029205322265625,-0.6266755322069016,-0.09604029147722762,-0.3914125668682337,0
21,1.047,-0.4221038818359375,-0.7285614013671875,-0.5045928955078125,-0.5693657526199482,-0.05013893389186131,-0.43000528319061054,0
22,1.097,-0.3252105712890625,-0.6903533935546875,-0.329681396484375,-0.43093669650477173,-0.022402106323067286,-0.3912129328076382,0
23,1.147,-0.5033416748046875,-0.8049774169921875,-0.4209136962890625,-0.463366645087964,-0.006850147037662776,-0.48467524366486026,0
24,1.196,-0.4068450927734375,-0.7669525146484375,-0.2467498779296875,-0.306267269003556,0.009852932687492657,-0.45076514156372327,0
25,1.246,-0.3858795166015625,-0.7713775634765625,-0.3343048095703125,-0.3976486949856381,0.019818861545885736,-0.41715216245288506,0
26,1.296,-0.3917694091796875,-0.7537078857421875,-0.54486083984375,-0.5858553053891805,-0.015430920279230192,-0.3882079853678037,0
27,1.346,-0.551055908203125,-0.7881622314453125,-0.529266357421875,-0.5574862541249392,-0.0561828385945673,-0.502001260615691,0
28,1.396,-0.465118408203125,-0.7842254638671875,-0.23516845703125,-0.28723674428161317,-0.10936318636996033,-0.493955339800618,0
29,1.446,-0.617034912109375,-0.83648681640625,-0.2002716064453125,-0.23283950505335219,-0.12075633111803047,-0.5828998249286756,0
30,1.496,-0.596954345703125,-0.829193115234375,-0.3228302001953125,-0.3628037254585448,-0.11847490823165327,-0.5571147158866196,0
31,1.545,-0.4597320556640625,-0.764801025390625,-0.4228057861328125,-0.48381986370750757,-0.13262750948473018,-0.4655794624503758,0
32,1.595,-0.580413818359375,-0.8313751220703125,-0.4420928955078125,-0.4979773033418873,-0.1283256632283961,-0.4598700982482207,0
33,1.645,-0.4838409423828125,-0.8252105712890625,-0.4060516357421875,-0.44150383494244194,-0.12416284491137478,-0.4655864078918715,0
34,1.695,-0.5252532958984375,-0.8234100341796875,-0.3925018310546875,-0.4302926249258563,-0.12692855701130712,-0.49900874571158665,0
35,1.745,-0.437713623046875,-0.727752685546875,-0.3787994384765625,-0.4617058124486789,-0.12422549953463541,-0.4707125490022874,0
36,1.795,-0.3970184326171875,-0.722686767578125,-0.36322021484375,-0.4490689752425432,-0.12921612549539238,-0.4406344654540272,0
37,1.844,-0.4315032958984375,-0.7585601806640625,-0.407379150390625,-0.47313045867932113,-0.10915687644518951,-0.4480346572877993,0
38,1.894,-0.4620819091796875,-0.833770751953125,-0.40606689453125,-0.43785690402282557,-0.08234589943951269,-0.4459652458123728,0
39,1.944,-0.410247802734375,-0.8065338134765625,-0.4627227783203125,-0.49763505093004673,-0.05362799950646831,-0.40365888253283166,0
40,1.994,-0.3495025634765625,-0.7462921142578125,-0.5093841552734375,-0.5637512447306865,-0.028899400828688804,-0.36075769348470077,0
