index,time,acc x,acc y,acc z,ori x,ori z,punch
0,0,-0.177490234375,-0.8445587158203125,-0.6976165771484375,-0.6368476083987088,-0.15994323582109418,None
1,0.05,0.080413818359375,-0.7609100341796875,-0.606903076171875,-0.6235510782556142,-0.08233910986156132,None
2,0.1,-0.2843475341796875,-0.83050537109375,-0.625946044921875,-0.6018857706405543,0.26373723717098446,None
3,0.149,0.078948974609375,-0.7004547119140625,-0.536773681640625,-0.6082591043464154,-0.08910721018061406,None
4,0.199,0.0169677734375,-0.7698822021484375,-0.5922088623046875,-0.6097054464345856,-0.01746641490947834,None
5,0.249,-0.039337158203125,-0.8064422607421875,-0.49774169921875,-0.5252217042947818,0.041473224242548616,None
6,0.299,-0.1355743408203125,-0.8365936279296875,-0.5636444091796875,-0.5587532807657865,0.13320026918059014,None
7,0.349,-0.17437744140625,-0.8932952880859375,-0.5906829833984375,-0.5515627507453987,0.1607120751582856,None
8,0.399,-0.239959716796875,-0.9691925048828125,-0.714813232421875,-0.5539947653565572,0.12799156066904416,None
9,0.448,-0.09332275390625,-0.819427490234375,-0.563232421875,-0.5664441534164142,0.09344424924523223,None
10,0.498,-0.0276336669921875,-0.745880126953125,-0.4856414794921875,-0.5456353738085555,0.031032448828417568,None
11,0.548,0.0189056396484375,-0.7860107421875,-0.3393402099609375,-0.396363637148689,-0.022077200027950477,None
12,0.598,-0.0140533447265625,-0.80487060546875,-0.6666107177734375,-0.6378578164527706,0.013445966564166325,None
13,0.648,0.0518951416015625,-0.8104095458984375,-0.80975341796875,-0.6283808123331854,0.007236589411742099,None
14,0.698,0.1485443115234375,-0.7781524658203125,-0.6222686767578125,-0.6245400227730377,-0.14745677477478092,None
15,0.747,0.11962890625,-0.826416015625,-0.2385101318359375,-0.27729040531808963,-0.13775390771152138,None
16,0.797,0.2092437744140625,-0.770599365234375,-0.328826904296875,-0.39247689538290315,-0.24230408005112888,None
17,0.847,-0.0813140869140625,-0.859527587890625,-0.5626373291015625,-0.5476846975926556,0.07890629003608006,None
18,0.897,-0.011016845703125,-0.8753814697265625,-0.4375457763671875,-0.4470950938345293,0.011256572131511561,None
19,0.947,-0.0743408203125,-0.9335174560546875,-0.5340118408203125,-0.49654073570290536,0.06895984035708713,None
20,0.997,-0.058929443359375,-0.9984893798828125,-0.538116455078125,-0.4203875768376453,0.08013464935475983,None
21,1.047,-0.304473876953125,-1.3754425048828125,-0.7579193115234375,-0.3540736547022605,0.06860205523990691,None
22,1.096,-0.0385284423828125,-1.6385040283203125,-1.3074493408203125,-0.13069128236641367,0.04545487096694029,None
23,1.146,0.814208984375,-1.4354095458984375,-0.036376953125,0.2158049488658351,0.06612764754466029,None
