index,time,acc x,acc y,acc z,sin ori x,sin ori y,sin ori z
0,0,-0.0745849609375,0.0181732177734375,-1.02020263671875,-0.9998413801840356,0,-0.07290188952751936
1,0.05,-0.08648681640625,0.0078125,-0.99700927734375,-0.9999693004742356,-0.0013370396311004503,-0.08648681640625
2,0.099,-0.0906219482421875,0.00946044921875,-0.99322509765625,-0.9999546404641485,-0.0014634597595709474,-0.0906219482421875
3,0.149,-0.0915679931640625,0.0041351318359375,-0.9953155517578125,-0.9999913697868357,-0.0007042063400191573,-0.0915679931640625
4,0.199,-0.0884857177734375,0.0072021484375,-0.9956817626953125,-0.9999738401051822,0.0005505419407393134,-0.0884857177734375
5,0.249,-0.0583343505859375,-0.02337646484375,-1.015167236328125,-0.9997349792883775,-0.017651580728645352,-0.0583343505859375
6,0.299,-0.0600433349609375,-0.023193359375,-1.0843048095703125,-0.999771310853756,-0.01652324438463805,-0.06004333496093749
7,0.349,-0.0504913330078125,0.0152740478515625,-0.9332427978515625,-0.9998660934672725,-0.007753796257167976,-0.0504913330078125
8,0.398,-0.0530853271484375,0.162506103515625,-1.0413818359375,-0.9880423768142482,0.02207418674539058,-0.0530853271484375
9,0.448,-0.0734405517578125,0.108062744140625,-1.1644287109375,-0.9957213975104943,0.059472578875885265,-0.0734405517578125
10,0.498,-0.0789337158203125,0.1220855712890625,-1.0776214599609375,-0.9936436180618041,0.08402726524159532,-0.0789337158203125
11,0.548,-0.076568603515625,0.0677490234375,-1.2084503173828125,-0.9978638159478365,0.0842852062032549,-0.06681073667257742
12,0.598,-0.0741119384765625,0.0087890625,-1.1034393310546875,-0.9999682796824921,0.09877749192457717,-0.0741119384765625
13,0.648,-0.04595947265625,-0.04345703125,-1.1127777099609375,-0.9992383124413279,0.11041545601634342,-0.04595947265625
14,0.697,0.0247039794921875,-0.10357666015625,-1.092803955078125,-0.9955383530419152,0.13352108505847526,0.0247039794921875
15,0.747,-0.0244903564453125,-0.20550537109375,-0.901214599609375,-0.9749727149135938,0.14456886179262893,-0.0244903564453125
16,0.797,0.083251953125,-0.24078369140625,-0.9404296875,-0.968751076341672,0.15520323549878864,0.083251953125
