index,time,acc x,acc y,acc z,gyro x,gyro y,gyro z,mag x,mag y,mag z
0,0,-0.0996246337890625,-0.0653839111328125,-1.0168304443359375,-0.6028448343276978,-0.45259249210357666,-0.07053674757480621,433.853271484375,8.22296142578125,-246.25363159179688
1,0.05,-0.030548095703125,-0.0167999267578125,-1.027587890625,-0.9118005633354187,0.08037446439266205,-0.2120286375284195,432.1326904296875,6.3702392578125,-251.2205352783203
2,0.1,-0.071563720703125,-0.0163421630859375,-1.048614501953125,-0.2550045847892761,-0.18668679893016815,-0.05096331611275673,426.61737060546875,7.2024078369140625,-254.5655975341797
3,0.149,-0.0705108642578125,-0.0208587646484375,-0.9795989990234375,-0.07272639870643616,-0.09012217074632645,-0.058288075029850006,420.22528076171875,9.762451171875,-257.1554870605469
4,0.199,-0.0960235595703125,-0.00506591796875,-0.979217529296875,-0.014417288824915886,-0.10630779713392258,-0.041132256388664246,415.84600830078125,11.956329345703125,-258.54656982421875
5,0.249,-0.0706634521484375,0.0275421142578125,-0.9992523193359375,-0.05265575274825096,-0.04698295518755913,-0.0831846371293068,412.1744079589844,13.791610717773438,-259.833251953125
6,0.299,-0.0743408203125,0.072235107421875,-1.07281494140625,-0.10521909594535828,-0.15862905979156494,-0.0021025657188147306,407.8524475097656,15.382034301757812,-261.1759948730469
7,0.349,-0.1146087646484375,0.019134521484375,-1.0748748779296875,0.2926265299320221,0.08211085200309753,-0.024344753473997116,399.69287109375,19.055191040039062,-265.253173828125
8,0.399,-0.1107940673828125,-0.0064239501953125,-0.92205810546875,-0.14574681222438812,-0.05938795953989029,-0.14913275837898254,392.2359619140625,22.062545776367188,-270.69024658203125
9,0.448,-0.099761962890625,0.0042266845703125,-1.0999298095703125,-0.39013418555259705,-0.10193861275911331,-0.18970894813537598,387.24945068359375,23.84759521484375,-275.94622802734375
10,0.498,-0.10498046875,-0.0199432373046875,-1.0493316650390625,0.31966403126716614,0.0578201562166214,-0.2885018289089203,381.2021179199219,26.14306640625,-283.3912353515625
11,0.548,-0.05419921875,-0.0175628662109375,-0.895477294921875,0.30581051111221313,-0.09803362190723419,-0.20017437636852264,376.64996337890625,27.034576416015625,-290.66253662109375
12,0.598,-0.0612030029296875,0.01171875,-0.9454345703125,0.16970914602279663,-0.12569507956504822,-0.15875689685344696,373.64337158203125,27.772003173828125,-294.8534851074219
13,0.648,-0.08782958984375,0.01092529296875,-0.9624176025390625,0.2851872742176056,-0.06510736048221588,-0.053467486053705215,371.4585876464844,27.582107543945312,-297.759765625
14,0.698,-0.1510467529296875,-0.022186279296875,-0.87579345703125,0.01332565862685442,-0.11342775821685791,-0.1187085434794426,370.0545654296875,26.940750122070312,-299.69415283203125
15,0.747,-0.0875091552734375,0.00836181640625,-1.003936767578125,-0.6351625919342041,-0.08388504385948181,-0.13419082760810852,369.65728759765625,27.037094116210938,-299.6951904296875
16,0.797,-0.1245269775390625,-0.0356292724609375,-1.1140289306640625,0.029986660927534103,-0.25836390256881714,-0.0940689742565155,369.65728759765625,27.037094116210938,-299.6951904296875
17,0.847,-0.12310791015625,-0.0435638427734375,-0.91546630859375,0.24990437924861908,-0.15588334202766418,-0.14677906036376953,368.503173828125,26.902023315429688,-300.93359375
18,0.897,-0.1353759765625,-0.019866943359375,-0.890594482421875,-0.09077544510364532,-0.1226007491350174,-0.08257397264242172,367.10931396484375,26.379165649414062,-303.47235107421875
19,0.947,-0.2064361572265625,0.013671875,-0.970733642578125,-0.029266275465488434,-0.3070637881755829,-0.038486406207084656,366.032958984375,26.51287841796875,-304.88201904296875
20,0.997,-0.2179107666015625,0.00445556640625,-0.9441070556640625,0.004485561978071928,-0.08355987071990967,-0.07061318308115005,365.0766296386719,26.964767456054688,-304.88470458984375
21,1.047,-0.173858642578125,0.037109375,-0.9692230224609375,-0.7285721302032471,-0.08901669085025787,-0.14225541055202484,364.28045654296875,27.194473266601562,-304.48095703125
22,1.096,-0.160400390625,0.0108795166015625,-1.2094573974609375,-0.4050934314727783,0.02509603276848793,-0.07610542327165604,364.3719482421875,27.602249145507812,-303.5610046386719
23,1.146,-0.2084197998046875,-0.0265655517578125,-0.9658966064453125,0.37075942754745483,0.20400479435920715,-0.10930811613798141,364.71075439453125,27.836013793945312,-304.0745544433594
24,1.196,-0.1483917236328125,-0.003509521484375,-0.917449951171875,0.013806626200675964,0.3574420213699341,-0.18604497611522675,364.8757629394531,26.7049560546875,-308.4187927246094
25,1.246,-0.124725341796875,0.0559234619140625,-1.0091094970703125,0.11319340020418167,0.6788676977157593,-0.1808755099773407,365.72149658203125,26.174346923828125,-312.2756042480469
26,1.296,-0.0578155517578125,0.070465087890625,-0.962615966796875,0.23105958104133606,1.1127419471740723,-0.11374174803495407,367.71148681640625,25.108291625976562,-315.51593017578125
27,1.346,-0.025115966796875,0.02996826171875,-0.859222412109375,-0.21896883845329285,0.9810501933097839,0.05249037221074104,370.09710693359375,23.683059692382812,-318.7523193359375
28,1.395,-0.036651611328125,-0.00018310546875,-1.0487060546875,-0.3536534011363983,0.8584933876991272,0.07996247708797455,372.61260986328125,23.0447998046875,-321.2759704589844
29,1.445,0.014190673828125,0.0247039794921875,-0.9956817626953125,-0.4664100408554077,0.8798607587814331,-0.028558406978845596,373.6779479980469,23.548126220703125,-322.14569091796875
30,1.495,0.0552978515625,0.03546142578125,-1.13470458984375,-0.11139629781246185,-0.70167475938797,0.078508660197258,375.67266845703125,24.217697143554688,-323.0730285644531
31,1.545,-0.014251708984375,0.0399322509765625,-1.0727081298828125,0.399960994720459,-0.5194077491760254,-0.03978363052010536,375.20611572265625,24.641632080078125,-323.2052917480469
32,1.595,0.074188232421875,0.0540313720703125,-0.9833526611328125,0.3734087347984314,-0.5382363200187683,0.07163956761360168,375.50897216796875,23.250991821289062,-323.9066162109375
33,1.645,-0.0036468505859375,0.0615234375,-0.985382080078125,0.24304594099521637,0.5357843041419983,0.12253124266862869,375.8587951660156,21.831512451171875,-323.8740539550781
34,1.694,0.02838134765625,0.0549468994140625,-0.9420623779296875,0.20271901786327362,0.007170561235398054,0.062257781624794006,377.46478271484375,20.848617553710938,-324.7843322753906
35,1.744,0.052734375,0.0391693115234375,-0.9681549072265625,-0.1618163287639618,0.4693525731563568,0.10676106810569763,378.6515197753906,19.490875244140625,-325.122314453125
36,1.794,0.0698394775390625,0.0349578857421875,-1.0601348876953125,-0.21338364481925964,0.6706750392913818,0.04662316292524338,379.9259948730469,19.180068969726562,-325.20477294921875
37,1.844,0.16119384765625,0.017120361328125,-1.0451202392578125,0.10947243124246597,1.7024962902069092,-0.026043051853775978,381.79144287109375,19.126693725585938,-326.2391357421875
38,1.894,0.1968536376953125,0.00299072265625,-0.88348388671875,-0.06198001280426979,3.172414541244507,-0.0700099766254425,385.26544189453125,18.383575439453125,-326.638671875
